648330	N=Aedes albopictus densovirus (isolate Boublik/1994)
10804	N=Adeno-associated virus 2
648242	N=Adeno-associated virus 2 (isolate Srivastava/1982)
118452	N=Abacion magnum
72259	N=Abaeis nicippe
102642	N=Abax parallelepipedus
392897	N=Abalistes stellaris
75332	N=Abbottina rivularis
515833	N=Abdopus aculeatus
56673	N=Antarctic bacterium DS2-3R
180068	N=Abelia chinensis
183219	N=Abelmoschus ficulneus
105883	N=Abelia grandiflora
183220	N=Abelmoschus manihot
1241371	N=Abalone herpesvirus (isolate Abalone/Australia/Victoria/2009)
45372	N=Abies alba
90345	N=Abies balsamea
123605	N=Abies beshanzuensis
66168	N=Abies bracteata
97173	N=Abies concolor
46125	N=Abiotrophia defectiva
78260	N=Abies firma
97172	N=Abies fraseri
473868	N=Abisara fylloides
46611	N=Abies grandis
97168	N=Abies holophylla
78261	N=Abies homolepis
97170	N=Abies koreana
34340	N=Abies lasiocarpa
3320	N=Abies magnifica
78263	N=Abies mariesii
97176	N=Abies nebrodensis
97177	N=Abies nordmanniana
78264	N=Abies sachalinensis
78262	N=Abies veitchii
283347	N=Ablepharus budaki
129035	N=Ablennes hians
245592	N=Ablepharus kitaibelii
446561	N=Australian bat lyssavirus (isolate Bat/AUS/1996)
446562	N=Australian bat lyssavirus (isolate Human/AUS/1998)
10816	N=Abutilon mosaic virus (isolate West India)
1217067	N=Acute bee paralysis virus (strain Rothamsted)
89096	N=Abrothrix andinus
108855	N=Abrocoma bennettii
38527	N=Abramis brama
278977	N=Abronia graminea
241142	N=Abrothrix jelskii
29094	N=Abrothrix longipilis
29098	N=Abrothrix olivaceus
49579	N=Abrophyllum ornans
3816	N=Abrus precatorius
190335	N=Abraxas sylvata
4829	N=Absidia glauca
126712	N=Absidia spinosa
50731	N=Abudefduf saxatilis
80948	N=Abudefduf sexfasciatus
3631	N=Abutilon theophrasti
192871	N=Abudefduf vaigiensis
437444	N=Acidianus bottle-shaped virus
654911	N=Acidianus bottle-shaped virus (isolate Italy/Pozzuoli)
61637	N=Abyssocottus korotneffi
8605	N=Acanthophis antarcticus
258588	N=Acanthoscelides argillaceus
185140	N=Acanthospermum australe
157584	N=Acanthurus bahianus
119680	N=Acanthopagrus berda
200166	N=Acanthidops bairdii
425510	N=Acanthocobitis botia
339859	N=Acanthaster brevispinus
8179	N=Acanthopagrus butcheri
392908	N=Acanthaluteres brownii
5755	N=Acanthamoeba castellanii
157585	N=Acanthurus coeruleus
51758	N=Acanthurus chirurgus
357281	N=Acantopsis choirorhynchos
75334	N=Acanthorhodeus chankaensis
256091	N=Acalypha californica
126420	N=Acanthochitona crinita
3809	N=Acacia confusa
52216	N=Acanthosaura capra
1310284	N=Acanthosoma crassicaudum
136140	N=Acartia clausii
271173	N=Acanthophlebia cruentata
938165	N=Acantholipes circumdata
121031	N=Acar domingensis
241842	N=Acanthus ebracteatus
111511	N=Acanthodactylus erythrurus
44213	N=Acanella eburnea
54769	N=Acanthis flammea
115339	N=Acanthoscurria gomesiana
1129268	N=Acar gradata
75013	N=Acanthurus guttatus
90719	N=Acanthis hornemanni
117190	N=Acanthiza katherina
8177	N=Acanthopagrus latus
459747	N=Acanthurus leucosternon
483362	N=Acanthurus lineatus
85306	N=Acalolepta luxuriosa
329726	N=Acaryochloris marina (strain MBIC 11017)
78687	N=Acanthophippium mantinianum
1110371	N=Acanthemblemaria maria
224085	N=Acacia mangium
155978	N=Acaryochloris marina
138032	N=Acacia myrtifolia
1108046	N=Acanthoscurria natalensis
175431	N=Acanthurus nigricans
12913	N=Acanthurus nigrofuscus
175432	N=Acanthurus nigroris
200917	N=Acanthoscelides obtectus
204797	N=Acanthoscelides obvelatus
1264770	N=Acanthoscurria paulensis
335913	N=Acartia pacifica
452306	N=Acanthodiaptomus pacificus
71285	N=Acanthodoris pilosa
133434	N=Acanthaster planci
5757	N=Acanthamoeba polyphaga
173075	N=Acar plicata
32204	N=Acalypha rhomboidea
